Row Labels,Sum of positive,Sum of negative,Sum of death,Sum of totalTestResults
AK,4447985,,22519,157572370
AL,47000212,256584989,745044,296477459
AR,27835162,262941571,438251,287427175
AS,0,378191,0,378191
AZ,70528007,347163203,1443762,689841447
CA,272914529,3457932,4221360,4382612957
CO,36403553,253990142,726541,517711814
CT,25135252,525878227,1352183,551013479
DC,4823439,,176311,117748540
DE,7604019,71035767,186777,132833653
FL,189935567,1206496761,3535392,2234811713
GA,93069973,,1836804,787472865
GU,878385,12877034,14631,13755419
HI,3000270,21062663,39132,111791204
IA,30276199,163507904,487016,193784103
ID,15809932,69131654,163224,82626195
IL,119199929,1629197452,2907771,1748397381
IN,56004478,327533500,1247824,708784210
KS,24637563,121064509,306389,145702072
KY,29728324,,382256,409862443
LA,47938135,579704577,1472876,627642712
MA,53756818,560378313,2708379,1362618738
MD,40404834,387928876,1148266,764604955
ME,2720197,136073824,52971,138794021
MI,63087471,1037549664,2387818,1100637135
MN,45569383,381687984,732663,669484558
MO,45400163,275608547,728659,510223679
MP,19961,3595591,613,3615552
MS,29313196,176613586,765624,205926782
MT,8116755,98113988,97653,106230743
NC,69727020,866899910,1012945,936626930
ND,10067242,53871499,135785,175144211
NE,19298901,108529511,192472,220738724
NH,4719994,73399543,135168,138808859
NJ,81400618,1009534836,4645593,1090935454
NM,15279804,262642633,320346,277922437
NV,27320669,158572093,452924,297179297
NY,168216471,,7686989,3425806845
OH,73675669,,1421142,998228215
OK,32824876,325805120,340518,358629996
OR,12821840,100411649,187668,344473561
PA,72893407,506883495,2657273,980004675
PR,8353238,69316476,194206,77669714
RI,11122539,88169563,333595,259169896
SC,42885744,375517593,837900,418403337
SD,10898507,44836817,144547,55735344
TN,68483852,730340089,842316,798823941
TX,231059724,,3974377,1988243094
UT,31227064,208735163,163812,320854304
VA,48253973,,872212,595632056
VI,293925,4811940,4331,5105865
VT,916795,41154162,22149,90438192
WA,31863307,,622225,549570912
WI,57868190,377320719,616980,720270050
WV,8468483,183961189,145504,192429672
WY,4309779,24874255,39487,63227493
Grand Total,2539811322,14525144704,58331173,34440456639
